"recipient","donor","crs.year","crs.value","publisher","iati.value","iati.year","value","publishing.to.iati","donor.or.publisher"
"Myanmar","World Bank Group, Total",2018,208871595,"worldbank",232738441,2019,232738441,1,"World Bank Group, Total"
"Myanmar","United States",2018,143958530,"unitedstates",112376699.62,2018,143958530,1,"United States"
"Myanmar","United Kingdom",2018,133756729,"dfid",140680808.8631,2017,140680808.8631,1,"United Kingdom"
"Myanmar","EU Institutions",2018,81278322,"ec-devco",116329392.879183,2019,116329392.879183,1,"EU Institutions"
"Myanmar","Global Fund",2018,45795644,"theglobalfund",105504172.46,2017,105504172.46,1,"Global Fund"
"Myanmar","Australia",2018,49633915,"ausgov",84957743.646,2019,84957743.646,1,"Australia"
"Myanmar",,,,"unops",61846814,2019,61846814,1,"unops"
"Myanmar","Germany",2018,59741015,"bmz",37557772.770892,2019,59741015,1,"Germany"
"Myanmar","Poland",2018,58931733,,,,58931733,0,"Poland"
"Myanmar","IFRCRCS",,,"icrc",54241479.172784,2018,54241479.172784,1,"IFRCRCS"
"Myanmar","UNICEF",2018,16149357,"unicef",53831799,2017,53831799,1,"UNICEF"
"Myanmar","Switzerland",2018,48168929,"sdc_ch",34398586.936,2018,48168929,1,"Switzerland"
"Myanmar",,,,"unpf",48072058.6053,2017,48072058.6053,1,"unpf"
"Myanmar","WFP",2018,5971770,"wfp",46601684,2019,46601684,1,"WFP"
"Nepal","World Bank Group, Total",2018,597667200,"worldbank",495087056,2018,597667200,1,"World Bank Group, Total"
"Nepal","Asian Development Bank, Total",2018,250703562,"asdb",291577031.61,2019,291577031.61,1,"Asian Development Bank, Total"
"Nepal","Germany",2018,51639891,"bmz",224510229.374024,2019,224510229.374024,1,"Germany"
"Nepal","United States",2018,174520330,"unitedstates",172170566.99,2017,174520330,1,"United States"
"Nepal","IFRCRCS",,,"icrc",136660278.602728,2018,136660278.602728,1,"IFRCRCS"
"Nepal","United Kingdom",2018,127735939,"dfid",126078099.6244,2017,127735939,1,"United Kingdom"
"Nepal","Japan",2018,115717243,,,,115717243,0,"Japan"
"Nepal","EU Institutions",2018,54352048,"ec-devco",87982211.183698,2017,87982211.183698,1,"EU Institutions"
"Nepal","UNICEF",2018,8253863,"unicef",67918540,2017,67918540,1,"UNICEF"
"Nepal","Norway",2018,34846744,"norad",32874722.049,2018,34846744,1,"Norway"
"Nepal","Switzerland",2018,34463985,"sdc_ch",30646069.743,2017,34463985,1,"Switzerland"
"Nepal","UNDP",2018,5097291,"undp",26379362,2017,26379362,1,"UNDP"
"Nepal","Australia",2018,13804835,"ausgov",24744633.597,2019,24744633.597,1,"Australia"
"Nepal","WFP",2018,1475678,"wfp",24096002,2017,24096002,1,"WFP"
"Nepal","Global Fund",2018,18549445,"theglobalfund",23678283.57,2017,23678283.57,1,"Global Fund"
"Nigeria","World Bank Group, Total",2018,951803423,"worldbank",1579164006,2019,1579164006,1,"World Bank Group, Total"
"Nigeria","United States",2018,845801570,"unitedstates",808382676.31,2018,845801570,1,"United States"
"Nigeria","United Kingdom",2018,399299030,"dfid",380661317.5717,2017,399299030,1,"United Kingdom"
"Nigeria","African Development Bank, Total",2018,72862149,"afdb",350399979.197382,2017,350399979.197382,1,"African Development Bank, Total"
"Nigeria","EU Institutions",2018,300978004,"ec-devco",265984778.414773,2017,300978004,1,"EU Institutions"
"Nigeria","Global Fund",2018,193999748,"theglobalfund",290918079.51,2017,290918079.51,1,"Global Fund"
"Nigeria","UNICEF",2018,54383655,"unicef",287782193,2017,287782193,1,"UNICEF"
"Nigeria","WFP",,,"wfp",278500863,2017,278500863,1,"WFP"
"Nigeria","World Health Organisation [WHO]",2018,3487667,"who",276969841.63,2017,276969841.63,1,"World Health Organisation [WHO]"
"Nigeria","Germany",2018,240095851,"bmz",75461089,2019,240095851,1,"Germany"
"Nigeria","France",2018,89347542,"afd",153713406.1492,2018,153713406.1492,1,"France"
"Nigeria","Global Alliance for Vaccines and Immunization [GAVI]",2018,89378530,"gavi",114200921,2017,114200921,1,"Global Alliance for Vaccines and Immunization [GAVI]"
"Nigeria","IFRCRCS",,,"icrc",96898437.15645,2017,96898437.15645,1,"IFRCRCS"
"Nigeria",,,,"unpf",61928809.9928,2017,61928809.9928,1,"unpf"
"Nigeria",,,,"palladium",52591617.2111,2017,52591617.2111,1,"palladium"
"Papua New Guinea","Australia",2018,418604345,"ausgov",529078034.3094,2019,529078034.3094,1,"Australia"
"Papua New Guinea","Asian Development Bank, Total",2018,38151949,"asdb",275203235.35,2019,275203235.35,1,"Asian Development Bank, Total"
"Papua New Guinea","World Bank Group, Total",2018,192445820,"worldbank",192367527,2018,192445820,1,"World Bank Group, Total"
"Papua New Guinea","Japan",2018,60531103,,,,60531103,0,"Japan"
"Papua New Guinea","EU Institutions",2018,33998314,"ec-devco",47497499.653351,2019,47497499.653351,1,"EU Institutions"
"Papua New Guinea","World Health Organisation [WHO]",2018,1928314,"who",42819777.58,2019,42819777.58,1,"World Health Organisation [WHO]"
"Papua New Guinea","New Zealand",2018,28467720,"mfat",30609375.4984089,2019,30609375.4984089,1,"New Zealand"
"Papua New Guinea","UNICEF",2018,3330822,"unicef",22239082,2018,22239082,1,"UNICEF"
"Papua New Guinea","Global Fund",2018,15061920,"theglobalfund",21778047.86,2017,21778047.86,1,"Global Fund"
"Papua New Guinea","UNDP",2018,497510,"undp",16831829,2019,16831829,1,"UNDP"
"Papua New Guinea",,,,"unpf",13696763.3663,2017,13696763.3663,1,"unpf"
"Papua New Guinea","United States",2018,8747670,"unitedstates",9202673.25,2018,9202673.25,1,"United States"
"Papua New Guinea","Central Emergency Response Fund [CERF]",2018,9186720,"cerf",9186710,2018,9186720,1,"Central Emergency Response Fund [CERF]"
"Papua New Guinea","Global Alliance for Vaccines and Immunization [GAVI]",2018,1443810,"gavi",8304278,2019,8304278,1,"Global Alliance for Vaccines and Immunization [GAVI]"
"Papua New Guinea","IFAD",2018,6884050,"ifad",5259320.31937,2019,6884050,1,"IFAD"
"Rwanda","World Bank Group, Total",2018,253242558,"worldbank",279224931,2017,279224931,1,"World Bank Group, Total"
"Rwanda","United States",2018,170003980,"unitedstates",157264071.66,2018,170003980,1,"United States"
"Rwanda","EU Institutions",2018,93567250,"ec-devco",149545101.862535,2017,149545101.862535,1,"EU Institutions"
"Rwanda","African Development Bank, Total",2018,119803935,"afdb",85662948.473872,2019,119803935,1,"African Development Bank, Total"
"Rwanda","Global Fund",2018,69396027,"theglobalfund",94529926.36,2019,94529926.36,1,"Global Fund"
"Rwanda","Germany",2018,45578323,"bmz",84064313.910654,2019,84064313.910654,1,"Germany"
"Rwanda","United Kingdom",2018,73045740,"dfid",70747009.2978,2017,73045740,1,"United Kingdom"
"Rwanda","Netherlands",2018,47117593,"minbuza_nl",48038340.7001,2017,48038340.7001,1,"Netherlands"
"Rwanda","UNHCR",2018,1436645,"unhcr",42135026.54,2017,42135026.54,1,"UNHCR"
"Rwanda","Belgium",2018,41856085,"be-dgd",32684123.955685,2018,41856085,1,"Belgium"
"Rwanda","Japan",2018,37749574,,,,37749574,0,"Japan"
"Rwanda",,,,"the_power_of_nutrition",3.5e+07,2018,3.5e+07,1,"the_power_of_nutrition"
"Rwanda","Sweden",2018,31938457,"sida",31152492.154533,2018,31938457,1,"Sweden"
"Rwanda","WFP",,,"wfp",31187119,2017,31187119,1,"WFP"
"Rwanda","France",2018,3603160,"afd",30215855.4456,2019,30215855.4456,1,"France"
"Sao Tome and Principe","World Bank Group, Total",2018,4795513,"worldbank",15956055,2019,15956055,1,"World Bank Group, Total"
"Sao Tome and Principe","Portugal",2018,15476350,,,,15476350,0,"Portugal"
"Sao Tome and Principe","African Development Bank, Total",2018,7797276,"afdb",3897027.815681,2018,7797276,1,"African Development Bank, Total"
"Sao Tome and Principe","EU Institutions",2018,4485944,"ec-devco",7726640.718722,2017,7726640.718722,1,"EU Institutions"
"Sao Tome and Principe","UNDP",2018,444662,"undp",4561290,2018,4561290,1,"UNDP"
"Sao Tome and Principe","Global Fund",2018,2776261,"theglobalfund",3755596.88,2017,3755596.88,1,"Global Fund"
"Sao Tome and Principe","Japan",2018,2863359,,,,2863359,0,"Japan"
"Sao Tome and Principe","World Health Organisation [WHO]",2018,777546,"who",1816610.02,2017,1816610.02,1,"World Health Organisation [WHO]"
"Sao Tome and Principe","UNICEF",2018,961818,"unicef",1749927,2019,1749927,1,"UNICEF"
"Sao Tome and Principe","Global Alliance for Vaccines and Immunization [GAVI]",2018,1285780,"gavi",1577755,2017,1577755,1,"Global Alliance for Vaccines and Immunization [GAVI]"
"Sao Tome and Principe","IFAD",2018,1233723,"ifad",736976.953377,2017,1233723,1,"IFAD"
"Sao Tome and Principe",,,,"fao",985030.75,2017,985030.75,1,"fao"
"Sao Tome and Principe","International Monetary Fund, Total",2018,898021,,,,898021,0,"International Monetary Fund, Total"
"Sao Tome and Principe","International Labour Organisation [ILO]",2018,771000,,,,771000,0,"International Labour Organisation [ILO]"
"Sao Tome and Principe",,,,"rvo",727748.717615,2018,727748.717615,1,"rvo"
"Sierra Leone","United Kingdom",2018,128378216,"dfid",123967773.1919,2017,128378216,1,"United Kingdom"
"Sierra Leone","World Bank Group, Total",2018,30928428,"worldbank",91349372,2019,91349372,1,"World Bank Group, Total"
"Sierra Leone","UNICEF",2018,7398080,"unicef",83983574,2017,83983574,1,"UNICEF"
"Sierra Leone","IFRCRCS",,,"icrc",78298260.92976,2017,78298260.92976,1,"IFRCRCS"
"Sierra Leone","EU Institutions",2018,74191705,"ec-devco",67612659.583293,2019,74191705,1,"EU Institutions"
"Sierra Leone","United States",2018,60764050,"unitedstates",52683883.05,2017,60764050,1,"United States"
"Sierra Leone","World Health Organisation [WHO]",2018,1110923,"who",49423434.16,2017,49423434.16,1,"World Health Organisation [WHO]"
"Sierra Leone","Global Fund",2018,40909927,"theglobalfund",42009152.17,2017,42009152.17,1,"Global Fund"
"Sierra Leone","Kuwait",2018,36538905,,,,36538905,0,"Kuwait"
"Sierra Leone","Germany",2018,25540776,"bmz",24259682.108376,2019,25540776,1,"Germany"
"Sierra Leone","International Monetary Fund, Total",2018,22022769,,,,22022769,0,"International Monetary Fund, Total"
"Sierra Leone","UNDP",2018,5080734,"undp",21130946,2018,21130946,1,"UNDP"
"Sierra Leone",,,,"wvi",20192699,2017,20192699,1,"wvi"
"Sierra Leone","African Development Bank, Total",2018,13161362,"afdb",18663608.536496,2019,18663608.536496,1,"African Development Bank, Total"
"Sierra Leone","Korea",2018,12121715,"odakorea",15737002.038,2019,15737002.038,1,"Korea"
"Somalia","EU Institutions",2018,266705057,"ec-devco",435412452.125484,2018,435412452.125484,1,"EU Institutions"
"Somalia","United States",2018,383852620,"unitedstates",401638952.35,2019,401638952.35,1,"United States"
"Somalia","United Kingdom",2018,258483639,"dfid",337141533.6168,2017,337141533.6168,1,"United Kingdom"
"Somalia","WFP",2018,458913,"wfp",333799006,2017,333799006,1,"WFP"
"Somalia",,,,"unpf",320010576.6334,2017,320010576.6334,1,"unpf"
"Somalia","Germany",2018,190389048,"bmz",109852396.955268,2019,190389048,1,"Germany"
"Somalia","UNICEF",2018,21040426,"unicef",187603348,2017,187603348,1,"UNICEF"
"Somalia",,,,"fao",134041469.15,2017,134041469.15,1,"fao"
"Somalia","Sweden",2018,107261968,"sida",107067815.041843,2018,107261968,1,"Sweden"
"Somalia","IFRCRCS",,,"icrc",94334495.89167,2017,94334495.89167,1,"IFRCRCS"
"Somalia","UNHCR",,,"unhcr",77088273.5,2017,77088273.5,1,"UNHCR"
"Somalia",,,,"wvi",76903737,2018,76903737,1,"wvi"
"Somalia","Norway",2018,66789478,"norad",66803596.902,2018,66803596.902,1,"Norway"
"Somalia","Denmark",2018,19243752,"danida",60568972.639487,2019,60568972.639487,1,"Denmark"
"Somalia","Central Emergency Response Fund [CERF]",2018,17269050,"cerf",60500772.83,2019,60500772.83,1,"Central Emergency Response Fund [CERF]"
"Syrian Arab Republic","Turkey",2018,6698514820,,,,6698514820,0,"Turkey"
"Syrian Arab Republic","Germany",2018,768769787,"bmz",620978157.971529,2018,768769787,1,"Germany"
"Syrian Arab Republic","United States",2018,696848260,"unitedstates",591700340.649999,2018,696848260,1,"United States"
"Syrian Arab Republic","EU Institutions",2018,569808240,"ec-devco",259280607.593559,2018,569808240,1,"EU Institutions"
"Syrian Arab Republic","WFP",2018,11263311,"wfp",418236991,2019,418236991,1,"WFP"
"Syrian Arab Republic","IFRCRCS",,,"icrc",387762968.917404,2018,387762968.917404,1,"IFRCRCS"
"Syrian Arab Republic","United Kingdom",2018,319881828,"dfid",267618464.4567,2019,319881828,1,"United Kingdom"
"Syrian Arab Republic",,,,"pin",304756695.914646,2019,304756695.914646,1,"pin"
"Syrian Arab Republic","UNHCR",2018,7971132,"unhcr",227422401.78,2018,227422401.78,1,"UNHCR"
"Syrian Arab Republic","UNICEF",2018,4914655,"unicef",171654587,2017,171654587,1,"UNICEF"
"Syrian Arab Republic","Norway",2018,123556998,"norad",123314803.494,2018,123556998,1,"Norway"
"Syrian Arab Republic","Canada",2018,109145920,"gac-amc",102815710.490077,2018,109145920,1,"Canada"
"Syrian Arab Republic","Denmark",2018,60503894,"danida",82561112.54311,2019,82561112.54311,1,"Denmark"
"Syrian Arab Republic","France",2018,73909223,,,,73909223,0,"France"
"Syrian Arab Republic","Sweden",2018,73807711,"sida",72911200.117347,2018,73807711,1,"Sweden"
"Tanzania","United States",2018,661559520,"unitedstates",703750445.28,2018,703750445.28,1,"United States"
"Tanzania","World Bank Group, Total",2018,567448792,"worldbank",557770565,2019,567448792,1,"World Bank Group, Total"
"Tanzania",,,,"rc",406768417.04411,2019,406768417.04411,1,"rc"
"Tanzania","Global Fund",2018,99763388,"theglobalfund",242690687.38,2017,242690687.38,1,"Global Fund"
"Tanzania","United Kingdom",2018,204810752,"dfid",205578367.9983,2017,205578367.9983,1,"United Kingdom"
"Tanzania","EU Institutions",2018,165151519,"ec-devco",135648155.184975,2018,165151519,1,"EU Institutions"
"Tanzania","African Development Bank, Total",2018,151779960,"afdb",105442829.435793,2017,151779960,1,"African Development Bank, Total"
"Tanzania","Sweden",2018,127112351,"sida",135674207.064416,2017,135674207.064416,1,"Sweden"
"Tanzania","Canada",2018,63785140,"gac-amc",87857391.862591,2017,87857391.862591,1,"Canada"
"Tanzania","Japan",2018,78666023,,,,78666023,0,"Japan"
"Tanzania","Korea",2018,73267154,"odakorea",12907534.5882,2019,73267154,1,"Korea"
"Tanzania","Germany",2018,39979429,"bmz",67730434.486814,2019,67730434.486814,1,"Germany"
"Tanzania","UNHCR",2018,10139984,"unhcr",66466731.25,2017,66466731.25,1,"UNHCR"
"Tanzania","France",2018,28160980,"afd",55790453.42024,2019,55790453.42024,1,"France"
"Tanzania","Denmark",2018,55083679,"danida",54320317.3497599,2018,55083679,1,"Denmark"
"Viet Nam","World Bank Group, Total",2018,733761662,"worldbank",1049629837,2017,1049629837,1,"World Bank Group, Total"
"Viet Nam","Japan",2018,673848365,,,,673848365,0,"Japan"
"Viet Nam","Asian Development Bank, Total",2018,362734249,"asdb",488039673.8,2017,488039673.8,1,"Asian Development Bank, Total"
"Viet Nam","Germany",2018,220267263,"bmz",301365364.833918,2019,301365364.833918,1,"Germany"
"Viet Nam","France",2018,119215137,"afd",249911153.613022,2019,249911153.613022,1,"France"
"Viet Nam","Korea",2018,157992856,"odakorea",37921908.2706,2019,157992856,1,"Korea"
"Viet Nam","United States",2018,119312650,"unitedstates",108243779.21,2018,119312650,1,"United States"
"Viet Nam","EU Institutions",2018,83586119,"ec-devco",66343988.71754,2018,83586119,1,"EU Institutions"
"Viet Nam","Australia",2018,48657118,"ausgov",70272646.8048,2017,70272646.8048,1,"Australia"
"Viet Nam","Global Fund",2018,20033363,"theglobalfund",52078995.26,2017,52078995.26,1,"Global Fund"
"Viet Nam","Kuwait",2018,50129871,,,,50129871,0,"Kuwait"
"Viet Nam","Belgium",2018,29810929,"be-dgd",18889270.2395,2018,29810929,1,"Belgium"
"Viet Nam",,,,"rvo",23551003.484589,2017,23551003.484589,1,"rvo"
"Viet Nam","UNDP",2018,2048059,"undp",21223244,2019,21223244,1,"UNDP"
"Viet Nam","Switzerland",2018,19093437,"sdc_ch",329738.1632,2019,19093437,1,"Switzerland"
"Yemen","Saudi Arabia",2018,3477332641,,,,3477332641,0,"Saudi Arabia"
"Yemen","United Arab Emirates",2018,2622712580,,,,2622712580,0,"United Arab Emirates"
"Yemen","WFP",,,"wfp",1458411595,2019,1458411595,1,"WFP"
"Yemen",,,,"ksrelief291",1014825272,2018,1014825272,1,"ksrelief291"
"Yemen","UNICEF",2018,9345148,"unicef",635291424,2019,635291424,1,"UNICEF"
"Yemen","United States",2018,599335020,"unitedstates",587150176.79,2019,599335020,1,"United States"
"Yemen","World Bank Group, Total",2018,366076400,"worldbank",573025262,2019,573025262,1,"World Bank Group, Total"
"Yemen",,,,"unpf",471703970.41,2017,471703970.41,1,"unpf"
"Yemen","United Kingdom",2018,221916206,"dfid",297272853.3978,2019,297272853.3978,1,"United Kingdom"
"Yemen","World Health Organisation [WHO]",2018,2812762,"who",271188039.57,2019,271188039.57,1,"World Health Organisation [WHO]"
"Yemen","Germany",2018,233277350,"bmz",151375415.892258,2018,233277350,1,"Germany"
"Yemen","EU Institutions",2018,160664961,"ec-devco",208147445.298265,2019,208147445.298265,1,"EU Institutions"
"Yemen","UNDP",2018,1676950,"undp",196498893,2018,196498893,1,"UNDP"
"Yemen","Central Emergency Response Fund [CERF]",2018,49909290,"cerf",184213411.09,2018,184213411.09,1,"Central Emergency Response Fund [CERF]"
"Yemen",,,,"mofaic_uae",1.7e+08,2019,1.7e+08,1,"mofaic_uae"
