"recipient","donor","crs.year","crs.value","publisher","iati.value","iati.year","value","publishing.to.iati","donor.or.publisher"
"Colombia","Germany",2018,558037056,"bmz",240040667.528715,2018,558037056,1,"Germany"
"Colombia","France",2018,508531982,"afd",3241818.17866,2018,508531982,1,"France"
"Colombia","United States",2018,339604020,"unitedstates",322530304.300001,2018,339604020,1,"United States"
"Colombia","UNDP",2018,308805,"undp",92242440,2018,92242440,1,"UNDP"
"Colombia","EU Institutions",2018,84267961,"ec-devco",57603707.32757,2018,84267961,1,"EU Institutions"
"Colombia","WFP",2018,4361877,"wfp",72191134,2019,72191134,1,"WFP"
"Colombia","Korea",2018,61673669,,,,61673669,0,"Korea"
"Colombia",,,,"unpf",59745392.343,2017,59745392.343,1,"unpf"
"Colombia","Norway",2018,50635995,"norad",52624580.1744,2017,52624580.1744,1,"Norway"
"Colombia","United Kingdom",2018,46938242,"dfid",31350297.5395396,2018,46938242,1,"United Kingdom"
"Colombia","Spain",2018,46863597,,,,46863597,0,"Spain"
"Colombia","Switzerland",2018,40980666,"sdc_ch",12784014.4706,2018,40980666,1,"Switzerland"
"Colombia","Canada",2018,35403701,"gac-amc",38754490.2749895,2017,38754490.2749895,1,"Canada"
"Congo","African Development Bank, Total",2018,2516732,"afdb",113799761.304922,2019,113799761.304922,1,"African Development Bank, Total"
"Congo","France",2018,57679941,"afd",85700685.85381,2018,85700685.85381,1,"France"
"Congo","World Bank Group, Total",2018,29550333,"worldbank",55431284,2019,55431284,1,"World Bank Group, Total"
"Congo","EU Institutions",2018,22937696,"ec-devco",21243154.931555,2018,22937696,1,"EU Institutions"
"Congo","WFP",,,"wfp",17785573,2019,17785573,1,"WFP"
"Congo","Global Fund",2018,7031302,"theglobalfund",15423970.65,2019,15423970.65,1,"Global Fund"
"Congo","UNHCR",2018,5573875,"unhcr",12211981.54,2017,12211981.54,1,"UNHCR"
"Congo",,,,"pin",11677850.360262,2019,11677850.360262,1,"pin"
"Congo","United States",2018,9774280,"unitedstates",8527392.36,2018,9774280,1,"United States"
"Congo","UNICEF",2018,1376798,"unicef",7774957,2019,7774957,1,"UNICEF"
"Congo","World Health Organisation [WHO]",2018,1466679,"who",5924178.84,2017,5924178.84,1,"World Health Organisation [WHO]"
"Congo","Central Emergency Response Fund [CERF]",2018,3976880,"cerf",4371548,2017,4371548,1,"Central Emergency Response Fund [CERF]"
"Congo","UNDP",2018,483890,"undp",3567808,2019,3567808,1,"UNDP"
"Congo","Ireland",2018,31228,"irishaid",3387900,2017,3387900,1,"Ireland"
"Congo","Japan",2018,2778539,,,,2778539,0,"Japan"
"Democratic Republic of the Congo","United States",2018,476120230,"unitedstates",527036113.56,2019,527036113.56,1,"United States"
"Democratic Republic of the Congo","World Bank Group, Total",2018,483858821,"worldbank",423287305,2019,483858821,1,"World Bank Group, Total"
"Democratic Republic of the Congo","World Health Organisation [WHO]",2018,2741382,"who",284342327.35,2019,284342327.35,1,"World Health Organisation [WHO]"
"Democratic Republic of the Congo","UNICEF",2018,66879947,"unicef",274541296,2019,274541296,1,"UNICEF"
"Democratic Republic of the Congo","United Kingdom",2018,271719020,"dfid",268010340.8924,2018,271719020,1,"United Kingdom"
"Democratic Republic of the Congo","WFP",2018,17769263,"wfp",258786869,2019,258786869,1,"WFP"
"Democratic Republic of the Congo","Global Fund",2018,145341398,"theglobalfund",226042550.75,2017,226042550.75,1,"Global Fund"
"Democratic Republic of the Congo","EU Institutions",2018,217932277,"ec-devco",168777365.9755,2018,217932277,1,"EU Institutions"
"Democratic Republic of the Congo","Germany",2018,142658467,"bmz",210389457.898532,2019,210389457.898532,1,"Germany"
"Democratic Republic of the Congo","African Development Bank, Total",2018,171174195,"afdb",57478948.937391,2017,171174195,1,"African Development Bank, Total"
"Democratic Republic of the Congo","Belgium",2018,128282516,"be-dgd",76961280.983245,2018,128282516,1,"Belgium"
