"publisher","year","value"
"111111_publisher",2019,8382005.2756
"111111_publisher",2020,9379197.9135
"111111_publisher",2021,9706619.6154
"_path_",2019,7764959.989
"_path_",2020,4360396.0662
"_path_",2021,3578689.9521
"a-t",2019,1015698.474857
"a-t",2020,1013407.87635
"a-t",2021,1099642.255137
"aab",2019,1148015.9735
"aab",2020,1084428.864
"aadk",2019,1465670
"aadk",2020,1315666
"aag",2019,784095.6343
"aag",2020,836130.546
"aai",2019,478084.5773
"aai",2020,725882.31
"aaik",2019,3657128.719781
"aaik",2020,2989160.5125
"aaik",2021,1776677.663092
"aanl",2019,5119698.5202
"aanl",2020,4179146.778
"aar",2019,1730996.983717
"aar",2020,1224990.31974
"aar",2021,410790.604151
"aauk",2019,10959246.766707
"aauk",2020,4952222.605035
"aauk",2021,232267.022107
"ablechildafrica",2019,94399.809128
"ablechildafrica",2020,101963.607084
"abt",2019,435593.5401
"abt",2020,158256.0768
"abtbritain",2019,3467520.229813
"abtbritain",2020,2490373.268643
"abtbritain",2021,1613136.403641
"acet",2019,2019044.33
"acf",2019,19066699.728449
"acf-fr",2019,25114
"acf",2020,6524755.971513
"acf",2021,2582546.0069
"achest",2019,1872624.3701
"achest",2020,1868289.2055
"acodev",2019,1654200.17587
"acodev",2020,2232758.13984
"acodev",2021,1938267.750069
"actec",2019,3624212.949522
"actec",2020,3419657.89416
"actec",2021,2376714.660894
"acu",2019,598343.5614
"acu",2020,683067.4515
"acumen",2019,2198372.8255
"acumen",2020,1913152.9305
"acumen",2021,1283031.999
"ada",2019,205727.301648
"ada",2020,247683.54447
"ada",2021,257437.04418
"addinternational",2019,1072325.470353
"adra-dk",2019,5885345
"adra-dk",2020,5904600
"adra-dk",2021,5943600
"aecid",2019,164179915.72444
"aecid",2020,448200
"aecom",2020,6114727.6509
"aecom",2021,5202775.9833
"aecom",2019,16521376.183782
"afd",2019,6089817245.29158
"afd",2020,7214522149.30464
"afghanaid",2019,1115566.416514
"afghanaid",2020,1314481.090833
"afghanaid",2021,799827.273905
"africalia",2019,2356737.7482
"africalia",2020,2296012.068
"africalia",2021,2318141.1735
"african_parks",2020,7659273
"ageintl",2019,2222131.9252
"akvo",2019,34050.1458
"alab",2019,9881.597231
"alliance_of_religions_and_conservation",2019,66787.229825
"amrefha",2019,4481018.832291
"amrefha",2020,815032.5063
"amrefha",2021,694688.999
"amrefhq",2019,1005174.5
"amrefhq",2020,1002847.5
"amrefkenya",2019,561550
"amrefkenya",2020,560250
"amrefnl",2019,11629068.1947
"amrefnl",2020,9008130.8925
"amrefnl",2021,113130
"amreftz",2019,121726.0704
"amrefug",2019,204609.7273
"apefe",2019,9810814.971177
"apefe",2020,9022650.096195
"apefe",2021,8168050.913994
"appro-af",2019,688350
"appro-af",2020,314400
"apt",2019,468194.0235
"apt",2020,395922.8265
"ares",2019,33945385.2782
"ares",2020,33694158.630105
"ares",2021,32750767.994967
"asdb",2019,12790012993.96
"asdb",2020,16378913821.47
"asdb",2021,13321600295.52
"asf",2019,2029810.840508
"asf",2020,2067153.55101
"asf",2021,1998289.493784
"asi",2019,5733006.96805
"asil",2019,625238.734179
"asil",2020,566212.806798
"atmf",2019,2261816.7055
"ava_admin",2019,9898066.5513
"ava_admin",2020,7246918.1607
"awdf",2019,16496272.496
"awepa",2019,2492347.5808
"awepa",2020,2547643.8735
"baag",2019,112485.606
"baag",2020,85194.4572
"basicneeds",2019,285391.7289
"basicneeds",2020,128383.4142
"bawacecy-tz",2019,66621.531892
"bd",2019,10755353.6728
"bd",2020,10831016.3175
"bd",2021,10463139.1575
"bdo",2019,760954.2
"bdo",2020,728836.2
"bdo",2021,727624.2
"be-dgd",2020,636988075.033455
"be-dgd",2021,421565423.951286
"beis",2019,363020650.160983
"beis",2020,264922987.796781
"beis",2021,132298014.025686
"bismsi",2019,834084.175133
"bismsi",2020,949052.261385
"bismsi",2021,983347.318944
"bitc",2019,147653.9959
"bmz",2020,21061929293.1903
"bmz",2019,4483697583.40274
"bmz",2021,1447766221.48791
"bnps",2019,34115.6
"bond",2019,1376191.9492
"britishcouncil",2019,12311927.5424
"britishcouncil",2020,2826186.2436
"brulocalis",2019,848176.598082
"brulocalis",2020,816868.848465
"brulocalis",2021,863802.553806
"bu-carbx-admin",2019,4640368.86
"buildafrica",2019,152810.490279
"buildafrica",2020,155430.81423
"buildafrica",2021,63952.415827
"bvf",2019,99012.020342
"bvf",2020,185353.881987
"bvf",2021,28894.185115
"cadtm",2019,499480.317391
"cadtm",2020,490188.22758
"cadtm",2021,540482.183847
"cafod",2019,16081576.5644277
"cafod",2020,224654.81128362
"cafod",2021,55538.24894447
"caid",2019,15137297.308105
"cal",2019,153507849.841311
"cal",2020,111826254.887994
"cal",2021,110350495.462423
"camfed",2019,17581174.9915
"camfed",2020,17246386.0548
"camfed",2021,11685188.386
"carbontrustadvisory",2019,6221057.275194
"carbontrustadvisory",2020,6639690.914583
"carbontrustadvisory",2021,2942586.035808
"carenederland",2019,4538221.3569
"caribank",2019,1920260
"caritas_denmark",2019,9599836.3
"caritas_denmark",2020,8084760
"caritas_denmark",2021,6705600
"cbm",2019,772591.123496
"cbm",2020,240540
"cbm",2021,120070
"cdeb-kvhb_admin",2019,324876.003551
"cdeb-kvhb_admin",2020,357412.56318
"cdeb-kvhb_admin",2021,349439.360526
"cec",2019,235188.5001565
"cec",2020,211395.9670875
"cec",2021,224294.162616
"cfyas",2019,1994776.0954
"cfyas",2020,444120.2595
"chai",2019,20259668.4791
"chai",2020,7640665.3029
"chai",2021,228133
"chanceforchildhood",2019,94699.8712
"chemonics",2019,15068400
"chemonics",2020,8556547.8123
"child-dot_org",2019,177008.205989
"child-dot_org",2020,206849.498547
"childhopeuk",2019,1750445.8
"childhopeuk",2020,1566979.176123
"childhopeuk",2021,312738.200261
"cibe",2019,2787167.766163
"cibe",2020,2403771.639885
"cibe",2021,2576640.417876
"cidr",2019,972795.527
"cidr",2020,397870.5015
"cip",2019,3236151.1133
"cip",2020,2960052.7671
"cip",2021,2955711.5599
"ciuk",2019,23065108.723527
"civicus",2019,2246200
"cjp",2019,-12897.725324
"cjp",2020,10294.268805
"cjp",2021,12141.960075
"clientearth-1",2019,2721124.5026
"clientearth-1",2020,2201520.7014
"climate_centre",2019,1602151.5664
"climate_centre",2020,1505612.4885
"clingendael",2019,4190551.1516
"clingendael",2020,2158800.12
"clingendael",2021,299206.224
"cncd",2019,2620227.1161
"cncd",2020,2920504.815
"cncd",2021,3071841.516
"coffey",2019,40911735.674
"coffey",2020,38395985.8248
"coffey",2021,35645847.2885
"concern_worldwide",2019,27169677.5889
"concern_worldwide",2020,18094182.5145
"concern_worldwide",2021,11119231.2368
"concernuk",2019,27169677.5889
"concernuk",2020,18094182.5145
"concernuk",2021,11119231.2368
"concordis",2019,341927.11
"concordis",2020,346678.275
"concordis",2021,196974.835
"congodorpen",2019,2304377.36617
"congodorpen",2020,2373794.82495
"congodorpen",2021,2302445.40417
"cordaid",2019,44705589.743441
"cordaid",2020,23938976.50461
"cordaid",2021,9833294.093337
"cowater",2019,9497843.5688
"cowater",2020,3323553.207
"cowater",2021,3322532.6141
"cowi",2019,10972938.5744
"cowi",2020,7211115.5715
"cowi",2021,544379.2974
"cprojects",2019,1462201.1207
"cr",2019,4125937.6219
"cr",2020,4645666.8846
"cr",2021,4338441.282
"crb-ai_admin",2019,3980259.6614
"crb-ai_admin",2020,3093688.1745
"crb-ai_admin",2021,2882337.453
"creausa-org",2019,1409140.0928
"creausa-org",2020,831443.4945
"crisisgroup",2019,433122.3225
"crisisgroup",2020,462789.3384
"crisisgroup",2021,468948.9941
"crs",2019,16082516.720881
"crs",2020,11275421.041568
"crs",2021,5506805.2303
"csa",2019,686061.47071
"csa",2020,647579.585025
"csa",2021,668768.458833
"ct-admin",2019,266118.545
"ct-admin",2020,293506.011
"ct-admin",2021,314188.0299
"cyan",2019,63460.152219
"cyan",2020,57468.024777
"dai",2019,6253278.1663
"dai-e",2019,43047699.267725
"dai-e",2020,10171968.7497
"damien-foundation",2019,12820523.598465
"damien-foundation",2020,13962236.435055
"damien-foundation",2021,14343925.33638
"danida",2019,1846266240.1778
"danida",2020,458947340.3378
"danida",2021,300911654.6652
"danmission",2019,2266500
"danmission",2020,2271000
"danmission",2021,2286000
"dba",2019,528153.341166
"dba",2020,501720.57045
"dba",2021,528768.002241
"dca",2019,7415131.8549
"dca",2020,2950086.015
"dcaf",2019,5985767.0528
"dcaf",2020,1405159.776
"dciecpatnl",2019,1590982.3369
"dciecpatnl",2020,1602986.1795
"dcms",2019,14588295.662
"dcms",2020,2706075
"dcms",2021,2581505
"ddp",2019,210089.03231
"ddp",2020,203488.685694
"ddp",2021,42262.35867
"dec-uk",2019,30136800
"decp",2019,1984517.7
"decp",2020,1966477.5
"decp",2021,1402246.35
"defra_transparency",2019,76882442.532
"defra_transparency",2020,73760763.5424
"defra_transparency",2021,35227193.216
"dfid",2019,13134403881.1429
"dfid",2020,8186312646.88561
"dfid",2021,3754871682.8605
"dfpa",2019,3022000
"dfpa",2020,3028000
"dfpa",2021,3048000
"dgf",2019,33475674.0349032
"dgf",2020,19800000
"dgf",2021,18300000
"dggf_financing_local_smes",2019,51146800
"dggf_financing_local_smes",2020,44042000
"dggf_financing_local_smes",2021,38591200
"dgmh",2019,45569.553912
"dgmh",2020,39637.347819
"dhrc_nepal",2019,91105.141139
"dhrc_nepal",2020,88156.611084
"dhrc_nepal",2021,13705.834409
"dhsc",2019,295428889.424725
"dhsc",2020,238256758.255998
"dhsc",2021,48281721.730057
"diakonia802017-3517",2019,16872978.0591
"dipr",2019,3823125.466444
"dipr",2020,2709219.856041
"dipr",2021,2345125.5924
"djapo",2019,1231065.8492
"djapo",2020,1227861.828
"djapo",2021,1230705.0684
"dki1151219",2019,105477.5443
"dki1151219",2020,73534.2807
"dla",2019,7468911
"dmru",2019,664840
"dndi_transparency",2019,66555154.081559
"dps-nampula",2019,5152.7925
"drc",2019,44576298.064125
"drc",2020,29473071.840455
"drc",2021,1884517.135876
"dri",2019,1236122.0454
"dri",2020,1456650
"dri",2021,950323.6764
"dynamo_international",2019,-26997.0778
"dynamo_international",2020,21547.215
"dynamo_international",2021,27194.1894
"ec",2019,1052102.795491
"ec",2020,1156034.61819
"ec",2021,1197241.10127
"ec-devco",2019,11505421174.06
"ec-devco",2020,42267707.172
"ec-echo",2019,1749577462.56976
"ec-echo",2020,341145676.406295
"ec-echo",2021,375005938.09491
"ecdpm",2019,10551393.0973
"eclosio",2019,1648029.0783
"eclosio",2020,1708941.78
"eclosio",2021,1737194.8662
"ecuk",2019,2173062.9363
"ecuk",2020,934180.3872
"edt_rwanda",2019,8166200.0885
"edt_rwanda",2020,3516190.8687
"edukans_foundation",2019,26936.4304
"edukans_foundation",2020,28614.2085
"edukans_foundation",2021,11349.2016
"ef_",2019,2722007.94129
"ef_",2020,2986093.136835
"ef_",2021,2689676.961183
"eib",2019,38851199884.8556
"ejc",2019,3030685.35
"ejc",2020,1019935.125
"emms",2019,388890.29
"emms",2020,321905.0604
"emms",2021,75389.5516
"energy_saving_trust",2019,3986629.0082
"energy_saving_trust",2020,2594443.9941
"energy_saving_trust",2021,2401400
"etmkdw",2019,330801.2433
"etmkdw",2020,332564.4
"etmkdw",2021,302724.567
"f-aids",2019,5535362.1757
"f-aids",2020,3715027.879
"f2a",2019,545727.87346
"fa",2019,1600140.77026
"fa",2020,1362626.903721
"fa",2021,1174753.23321
"fairtrade_be",2019,686857.175829
"fairtrade_be",2020,787399.653645
"fairtrade_be",2021,827805.843549
"fao",2019,155001054.07
"fco",2019,813398220.835124
"fh",2019,172743.610206
"fh",2020,202279.94814
"fh",2021,153942.311329
"fhfuk",2019,523435.242509
"fhfuk",2020,492357.573576
"fhfuk",2021,76890.714768
"fhi360",2019,265712.3985
"fiabel",2019,293807.598403
"fiabel",2020,268467.553305
"fiabel",2021,440831.566782
"fian-belgium",2019,247808.6457
"fian-belgium",2020,247595.7645
"fian-belgium",2021,259938.801
"fimi_iiwf_2019",2019,3293999
"finland_mfa",2019,1589343182.5579
"finland_mfa",2020,1408752638.631
"finland_mfa",2021,944185562.7579
"fms",2019,3428440.1998
"fo_germany",2019,2681144334.27219
"fo_germany",2020,719343916.952242
"fo_germany",2021,165288909.961296
"foei",2019,2340069.8211
"foei",2020,1169332.5105
"foenl",2019,2611071.6049
"foenl",2020,2605028.04
"fomin",2019,3250000
"fomin",2020,250000
"foncaba",2019,177206.974549
"foncaba",2020,195990.50952
"foncaba",2021,175805.468064
"fos",2019,5011195.525963
"fos",2020,5363638.03998
"fos",2021,5294704.852386
"free_press_unlimited",2019,7199351.775
"free_press_unlimited",2020,7182685.125
"freeagirl",2019,805565.937
"freeagirl",2020,432961.2
"ftm-291333",2020,270304.467708
"ftm-291333",2021,169646.206594
"fucid",2019,154039.9036
"fucid",2020,167863.2255
"fucid",2021,178390.1718
"fwf",2019,20206783.685814
"g3w-m3m_admin",2019,1306655.667922
"g3w-m3m_admin",2020,1297301.846175
"g3w-m3m_admin",2021,1292004.072441
"gac-amc",2019,2030943372.5048
"gac-amc",2020,1081497349.9256
"gac-amc",2021,409659170.1741
"gavi",2019,1734528728
