"publisher","year","value"
"icnl_org",2019,466366
"icrc",2019,1421337186.32935
"icva",2019,117627.84
"idlo",2019,34002974.360429
"idrccrdi",2019,51361098.2144
"ids",2019,8746166.367387
"ieu",2019,441624.746265
"ifad",2019,645069225.05454
"ifrcrcs",2019,581222238.201343
"ihedelft",2019,3700943.5683
"imc_uk",2019,4091746.160311
"imcw_admin",2019,713145.481821
"inasp",2019,520083.3146
"ine_benin",2019,293495.1315
"instiglio",2019,359910
"integrity_action",2019,59394.446759
"international-alert",2019,410347.628815
"intrac",2019,137215.838966
"ipao",2019,77801.6294
"ipas",2019,7277197.04866
"ipe",2019,192626.8914
"ippf",2019,20706222.737423
"iraq_foundation",2019,487111.2
"irc",2019,6855893.75625
"irc_inc",2019,90289025.4935991
"irc_uk",2019,50236796.603291
"irise_int",2019,49904.399138
"irw",2019,910289.490301
"issafrica",2019,1024836.6117
"itad",2019,296790.647018
"itc",2019,31665266
"iucn_nl",2019,6241139.083795
"iwda",2019,4932335.36223
"jocc_uk",2019,11158.1502
"kidasha",2019,45514.1022
"kingscollegelondon",2019,1044037.148652
"kit",2019,734834.2221
"kmss",2019,419945.094599
"knust",2019,337742.17
"kpmgea",2019,20392277.581704
"kpmgllp",2019,4850216.441316
"ksrelief291",2019,196929762
"lbg",2019,642925.134487
"lcd_admin",2019,1610364.981028
"lcdi_admin",2019,1875855.0704
"lepra",2019,99132.4922
"lhcf",2019,6278.5
"lts",2019,1572925.982281
"mag",2019,6137703.2275
"mainline",2019,725328.3037
"malariaconsortium",2019,36543921.7434
"mamac",2019,4669838.569
"manniondaniels",2019,79165354.4961325
"marysmeals",2019,1163608.2177
"mce",2019,42193515.7477784
"mcn",2019,124088.477557
"mdf",2019,900512.811
"medair",2019,1172732.1339
"mefbenin",2019,435999.1513
"mfat",2019,472259919.635585
"millenniumchallenge",2019,433611947.38
"minbuza_nl",2019,3597831187.8883
"mmh",2019,85426.5267
"mmr_admin2",2019,7200
"mofaic_uae",2019,1.7e+08
"mondefemmes",2019,1890.1773
"motivation",2019,186599.380716
"msi",2019,70688317.7217947
"mvo_nederland",2019,2423753.1252
"namati_inc",2019,922923.80375
"nathan",2019,6052819.129145
"ncea",2019,2111509.9863
"ndsicde",2019,665193.474
"neem",2019,174053.810271
"nimd-hq",2019,6921668.6693
"nl-kvk-41207989",2019,29560110.1796
"nl-kvk-54436222-27541",2019,3903639.5332
"nlrc",2019,32984932.6202
"nmhiati",2019,13293.3183
"nned",2019,6377.4384
"nnjs_nepal",2019,2261.063648
"norad",2019,2911871254.31661
"npa",2019,6881500.453
"nrc",2019,82923942.962597
"nso",2019,2003300.4244
"nswp",2019,116106.100462
"odakorea",2019,422243385.3864
"odi",2019,5224564.231033
"odi_sales_ltd",2019,207262.0749
"ofid",2019,202354012.358317
"onl",2019,153244812.8167
"open_university",2019,1694782.50255
"opportunity-international-uk",2019,249241.3816
"options",2019,9064026.8442
"orbis_africa",2019,154975.668675
"orbis_ethiopia",2019,663441.447787
"orbis_international",2019,974226.042543
"orbis_uk",2019,878164.138667
"oxfamgb",2019,165548157.293421
"oxfamus",2019,35784903.3
"oxsol",2019,912574.489453
"pa",2019,19889271.824775
"pacam",2019,61050.14406
"palladium",2019,511606.0839
"partos_nl",2019,624497.5088
"pasgr",2019,1003654.6403
"pax",2019,21092153.8069
"pcst",2019,140426.1867
"peas",2019,1830717.6782
"phase_worldwide",2019,133389.11833
"pin",2019,584170208.203116
"plan_uk",2019,19955479.858056
"plannlno",2019,36583187.7862
"pmo-us",2019,532669.44
"practica",2019,18316.368356
"pri_icf",2019,66094.711275
"prosperityfund",2019,427611.0552
"protos",2019,375099.958407
"pskenya_19",2019,42135223.53
"pwc",2019,31819791.35398
"pwcplindia",2019,2183262.9874
"pwyf",2019,762052.849601
"qrfed",2019,1533755.502562
"rainforest-alliance",2019,939065.1994
"rains",2019,94015.576848
"raleigh_int",2019,472878.889516
"rc",2019,406768417.04411
"rc2africa",2019,165359.930284
"rcel",2019,2482490.0189
"redbarnet",2019,1873105.918918
"restless",2019,2466432.780264
"ri_kenya",2019,481457.9826
"rnli_international",2019,131049.849686
"ruaf",2019,21981.3132
"rutgers",2019,15521878.7977
"rvo",2019,6501030.657
"sac_kenya",2019,554482.877061
"sacethiopia",2019,1267768.84137751
"saferworld",2019,7238086.705545
"sci",2019,43212505.8117
"sciaf",2019,1481114.72524
"scibelgium",2019,18989.3748
"scnl",2019,26244534.5371
"scuk",2019,69646706.0979001
"sdc_ch",2019,1116738227.0592
"sddirect",2019,270668.6464
"sdn",2019,76558.7733
"seefar",2019,232995.75
"sehatkahanicih",2019,83175
"self-help-africa",2019,1470077966.69297
"sendacow",2019,2095498.6023956
"sense_international",2019,902120.49628
"sfcg",2019,2613087.373641
"sida",2019,4005247294.37648
"simavi",2019,17203305.702858
"siren",2019,414881.999186
"sjg",2019,1796137.915772
"slf",2019,61062.430374
"snv",2019,8530221.44128
"solidaridad",2019,215.489197
"solidaridad-europe",2019,4922107.572657
"solidaridad-waf",2019,110710.716831
"somo",2019,1724459.469986
"soneb-benin",2019,184569.204
"sosnl",2019,4630061.7363
"spark",2019,1008990.052554
"ss-org",2019,57576217.0172999
"ssn",2019,997897.871093
"st_vluchteling",2019,7105145.0239
"stad",2019,3031082.871245
"stichting_hivos",2019,24425275.845549
"street_child",2019,816065.180454527
"surf",2019,31392.5
"taf",2019,980429
"tdh_nl",2019,2607754.64136
"tear",2019,18465090.3811
"tearfund",2019,2895467.849492
"the_mentor_initiative",2019,4242470.750824
"the_power_of_nutrition",2019,14153000
"thp_org",2019,38362.8498
"ti-uk",2019,1445025.681214
"tib",2019,11582635.9832
"tkf1234",2019,137719.9792
"tlmew",2019,24567.7705
"tmea",2019,67640256.49
"tni",2019,1680906.7077
"traidcraft",2019,137829.637683
"transparency-international",2019,9380599.5327
"treea",2019,35274.49655
"trias",2019,51116.7734
"troc",2019,411458.35825
"trocaire",2019,3584487.7996
"uaf",2019,442838.33
"udom",2019,31649.9185
"udpk",2019,281660.0654
"ukmod",2019,4990478.382456
"umu",2019,28868.543
"unaids",2019,58686008
"undp",2019,4267553934
"unf",2019,279095
"unfpa",2019,761272333.450001
"uni_of_nottingham",2019,533182.777
"unicefnl",2019,2274503.2431
"unido",2019,190253436.259999
"unitedstates",2019,5556299920.89007
"universiteit_leiden",2019,243185.9661
"unocha",2019,244550839
"unocha-cbpf",2019,833913529.399999
"unops",2019,2007814219
"uom",2019,106228.4529
"uq",2019,1164022.448016
"usaid",2019,14076477144.17
"utd",2019,215407708
"utz",2019,3603246.503175
"uwezo_youth_empowerment",2019,29351.8808
"varkeyfoundation",2019,3820889.1652
"vei_nl",2019,16011572.8597
"vfi",2019,35860.2806
"villagewater",2019,56244.510752
"viva",2019,2174386.4441
"vngi",2019,458125.708887
"vso",2019,813358.164859
"vvsg",2019,61770.5
"w-d",2019,564632.553767
"wageningen_ur",2019,558964.343025
"warchildholland",2019,21284836.2122
"wateraid",2019,18725850.342222
"wccuk",2019,9182.9341
"wcuk",2019,127947589.890067
"wedo",2019,66630.92
"wei",2019,2502290.103114
"wellfound",2019,159434.9733
"wep",2019,3696110.1538
"wf-asia",2019,1484701.812623
"wff",2019,2716456.5703
"wfp",2019,7627773750
"wfwiuk",2019,1985617.684323
"wgnrr_iati",2019,94912.192672
"who",2019,2414320818.46001
"whpca",2019,84163.305057
"wjr_001",2019,365098.353745
"wnf",2019,1865243.3569
"woda_0486",2019,39919.6375625646
"worldbank",2019,37445101971
"worldveg",2019,1121346
"worldwaternet",2019,156427.6142
"wri",2019,538228.44
"wusc",2019,6334780.72514
"wvi",2019,965235775
"wvnld",2019,8392058.548016
"wvuk",2019,9912818.157542
"wvz-gec",2019,223589.02
"wwf-be",2019,2292362.846686
"wygi",2019,17975721.782249
"ycare",2019,591290.143816
"yffhsd",2019,745667.08315
"ywcabd",2019,22997.957145
"zoa",2019,23660625.983
"zsl",2019,9882213.563202
